hhId,lon,lat,income,pId,age,gender,isEmployed
238243,18.681299,-33.820258,2457600,830735,59,m,true
238243,18.681299,-33.820258,2457600,830736,55,f,true
238247,18.680088,-33.820432,614400,830742,38,f,true
238262,18.679307,-33.820514,307200,830779,47,m,true
238262,18.679307,-33.820514,307200,830780,26,f,true
238263,18.679445,-33.819933,614400,830781,60,m,false
238263,18.679445,-33.819933,614400,830782,54,f,false
238263,18.679445,-33.819933,614400,830783,24,m,false
238263,18.679445,-33.819933,614400,830784,16,m,false
238263,18.679445,-33.819933,614400,830785,13,f,false
238264,18.679310,-33.823198,307200,830786,65,f,false
238272,18.678398,-33.820299,307200,830803,51,f,true
238272,18.678398,-33.820299,307200,830804,52,m,true
238286,18.678488,-33.821991,38400,830839,35,m,false
238293,18.676195,-33.821089,614400,830858,72,m,false
238293,18.676195,-33.821089,614400,830859,46,f,true
238293,18.676195,-33.821089,614400,830860,42,m,true
238293,18.676195,-33.821089,614400,830861,14,m,false
238305,18.681172,-33.820558,307200,830888,70,f,false
238316,18.678738,-33.820201,614400,830917,38,f,true
238316,18.678738,-33.820201,614400,830918,66,m,false
238316,18.678738,-33.820201,614400,830919,62,f,false
238316,18.678738,-33.820201,614400,830920,30,f,true
238322,18.677383,-33.821318,614400,830932,31,m,true
238322,18.677383,-33.821318,614400,830933,34,m,true
238322,18.677383,-33.821318,614400,830934,20,m,true
238323,18.676292,-33.821168,307200,830935,26,m,true
238323,18.676292,-33.821168,307200,830936,23,f,true
238328,18.677217,-33.823881,614400,830947,48,m,true
238328,18.677217,-33.823881,614400,830948,44,f,true
238328,18.677217,-33.823881,614400,830949,12,m,false
238328,18.677217,-33.823881,614400,830950,10,m,false
238328,18.677217,-33.823881,614400,830951,8,m,false
238329,18.677393,-33.823703,1228800,830952,34,f,true
238329,18.677393,-33.823703,1228800,830953,36,m,true
238336,18.679752,-33.819662,0,830968,65,f,false
238337,18.676835,-33.822120,614400,830969,74,m,false
238337,18.676835,-33.822120,614400,830970,82,f,false
238337,18.676835,-33.822120,614400,830971,48,m,true
238357,18.678235,-33.820818,153600,831017,59,m,false
238367,18.679416,-33.820667,614400,831034,30,m,true
238367,18.679416,-33.820667,614400,831035,32,m,true
238368,18.678884,-33.820674,153600,831036,49,f,true
238368,18.678884,-33.820674,153600,831037,21,f,true
238376,18.677820,-33.822856,307200,831052,74,m,false
238376,18.677820,-33.822856,307200,831053,69,f,false
238380,18.681469,-33.821649,76800,831064,50,m,true
238382,18.677885,-33.823014,307200,831066,82,m,false
238382,18.677885,-33.823014,307200,831067,71,f,false
238387,18.677991,-33.820535,1228800,831082,37,m,true
238387,18.677991,-33.820535,1228800,831083,32,f,false
238387,18.677991,-33.820535,1228800,831084,0,m,false
238389,18.679431,-33.822592,153600,831089,39,f,true
238414,18.677534,-33.820686,614400,831153,33,m,true
238414,18.677534,-33.820686,614400,831154,30,f,true
238418,18.677519,-33.821654,614400,831165,31,m,true
238418,18.677519,-33.821654,614400,831166,29,f,true
238423,18.678920,-33.821181,307200,831177,39,m,false
238423,18.678920,-33.821181,307200,831178,40,f,true
238423,18.678920,-33.821181,307200,831179,18,f,false
238423,18.678920,-33.821181,307200,831180,14,f,false
238423,18.678920,-33.821181,307200,831181,68,f,false
238423,18.678920,-33.821181,307200,831182,48,m,false
238425,18.678547,-33.823792,76800,831186,63,m,false
238425,18.678547,-33.823792,76800,831187,56,f,true
238429,18.679797,-33.822190,1228800,831195,42,m,true
238429,18.679797,-33.822190,1228800,831196,39,f,false
238429,18.679797,-33.822190,1228800,831197,9,f,false
238429,18.679797,-33.822190,1228800,831198,4,m,false
238439,18.678885,-33.821778,307200,831214,60,m,true
238439,18.678885,-33.821778,307200,831215,61,f,false
238439,18.678885,-33.821778,307200,831216,26,m,true
238443,18.676532,-33.821039,614400,831225,53,m,true
238443,18.676532,-33.821039,614400,831226,36,f,true
238443,18.676532,-33.821039,614400,831227,13,m,false
238443,18.676532,-33.821039,614400,831228,9,m,false
238445,18.681541,-33.821637,614400,831232,39,m,true
238445,18.681541,-33.821637,614400,831233,37,f,true
238453,18.679750,-33.820072,307200,831255,28,m,true
238453,18.679750,-33.820072,307200,831256,27,f,true
238455,18.679517,-33.821772,307200,831261,63,m,true
238455,18.679517,-33.821772,307200,831262,61,f,false
238455,18.679517,-33.821772,307200,831263,26,f,true
238469,18.676754,-33.821083,614400,831300,46,m,true
238469,18.676754,-33.821083,614400,831301,41,f,true
238469,18.676754,-33.821083,614400,831302,9,m,false
238469,18.676754,-33.821083,614400,831303,6,m,false
238474,18.678821,-33.820845,153600,831315,54,f,false
238474,18.678821,-33.820845,153600,831316,21,f,true
238482,18.679027,-33.821067,614400,831341,33,m,true
238482,18.679027,-33.821067,614400,831342,31,f,true
238482,18.679027,-33.821067,614400,831343,1,f,false
238483,18.676057,-33.821986,76800,831344,59,m,true
238483,18.676057,-33.821986,76800,831345,44,f,true
238492,18.680647,-33.821617,614400,831359,47,m,true
238492,18.680647,-33.821617,614400,831360,52,f,true
238492,18.680647,-33.821617,614400,831361,16,f,false
238492,18.680647,-33.821617,614400,831362,13,f,false
238507,18.678078,-33.822270,76800,831393,79,f,false
238511,18.680721,-33.823201,0,831400,44,m,true
238511,18.680721,-33.823201,0,831401,44,f,false
238511,18.680721,-33.823201,0,831402,5,f,false
238511,18.680721,-33.823201,0,831403,5,f,false
238514,18.679414,-33.820093,614400,831407,12,m,false
238514,18.679414,-33.820093,614400,831408,68,f,false
238514,18.679414,-33.820093,614400,831409,30,f,true
238517,18.679515,-33.821238,153600,831416,59,f,true
238521,18.681212,-33.821832,153600,831422,25,m,true
238529,18.678683,-33.820811,307200,831446,26,m,true
238529,18.678683,-33.820811,307200,831447,29,m,true
238543,18.680479,-33.821180,153600,831477,35,m,true
238543,18.680479,-33.821180,153600,831478,33,f,true
238543,18.680479,-33.821180,153600,831479,13,m,false
238543,18.680479,-33.821180,153600,831480,4,m,false
238543,18.680479,-33.821180,153600,831481,1,f,false
238551,18.677867,-33.823936,614400,831498,30,m,true
238551,18.677867,-33.823936,614400,831499,27,f,true
238561,18.680219,-33.819535,307200,831525,30,m,true
238565,18.678705,-33.820102,614400,831533,79,f,false
238565,18.678705,-33.820102,614400,831534,88,m,false
238565,18.678705,-33.820102,614400,831535,50,m,true
238568,18.677929,-33.822953,38400,831539,56,m,false
238568,18.677929,-33.822953,38400,831540,41,f,true
238568,18.677929,-33.822953,38400,831541,16,m,false
238569,18.681458,-33.821019,76800,831542,42,m,true
238569,18.681458,-33.821019,76800,831543,16,m,false
238569,18.681458,-33.821019,76800,831544,14,m,false
238569,18.681458,-33.821019,76800,831545,47,f,true
238576,18.680924,-33.823134,614400,831565,54,m,true
238576,18.680924,-33.823134,614400,831566,53,f,true
238576,18.680924,-33.823134,614400,831567,18,m,false
238581,18.678859,-33.820500,2457600,831580,65,m,false
238581,18.678859,-33.820500,2457600,831581,62,f,true
238598,18.676785,-33.822977,307200,831634,79,m,false
238598,18.676785,-33.822977,307200,831635,78,f,false
238601,18.677600,-33.821920,76800,831643,72,m,false
238601,18.677600,-33.821920,76800,831644,64,f,false
238607,18.680967,-33.820675,614400,831653,69,m,false
238607,18.680967,-33.820675,614400,831654,67,f,false
238631,18.681027,-33.821290,153600,831719,40,m,true
238631,18.681027,-33.821290,153600,831720,39,f,true
238634,18.680450,-33.821006,153600,831730,57,m,true
238634,18.680450,-33.821006,153600,831731,51,f,false
238634,18.680450,-33.821006,153600,831732,16,f,false
238635,18.678152,-33.821421,307200,831733,82,f,false
238640,18.676560,-33.821803,1228800,831740,54,f,true
238640,18.676560,-33.821803,1228800,831741,35,m,true
238650,18.678514,-33.823436,153600,831760,29,m,true
238653,18.679740,-33.823292,307200,831766,27,m,true
238653,18.679740,-33.823292,307200,831767,27,m,true
238667,18.679671,-33.822345,614400,831802,40,m,true
238667,18.679671,-33.822345,614400,831803,38,f,false
238667,18.679671,-33.822345,614400,831804,10,m,false
238667,18.679671,-33.822345,614400,831805,7,f,false
238667,18.679671,-33.822345,614400,831806,1,m,false
238672,18.681330,-33.823219,153600,831814,60,f,true
238672,18.681330,-33.823219,153600,831815,71,m,false
238672,18.681330,-33.823219,153600,831816,21,f,false
238672,18.681330,-33.823219,153600,831817,18,f,false
238674,18.678989,-33.821469,307200,831821,23,f,true
238674,18.678989,-33.821469,307200,831822,24,f,true
238678,18.677268,-33.823291,614400,831837,68,m,false
238678,18.677268,-33.823291,614400,831838,56,f,false
238682,18.679739,-33.822736,307200,831850,65,m,false
238682,18.679739,-33.822736,307200,831851,60,f,false
238708,18.680355,-33.819693,1228800,831921,44,m,true
238708,18.680355,-33.819693,1228800,831922,42,f,true
238708,18.680355,-33.819693,1228800,831923,7,m,false
238717,18.677986,-33.823262,1228800,831942,49,m,true
238717,18.677986,-33.823262,1228800,831943,54,f,true
238717,18.677986,-33.823262,1228800,831944,24,m,true
238721,18.678762,-33.821594,614400,831954,29,m,true
238721,18.678762,-33.821594,614400,831955,28,f,false
238721,18.678762,-33.821594,614400,831956,4,m,false
238721,18.678762,-33.821594,614400,831957,0,f,false
238723,18.677067,-33.822299,307200,831962,43,f,true
238723,18.677067,-33.822299,307200,831963,37,m,true
238723,18.677067,-33.822299,307200,831964,15,f,false
238723,18.677067,-33.822299,307200,831965,12,m,false
238737,18.680103,-33.820515,614400,831996,51,m,true
238737,18.680103,-33.820515,614400,831997,36,f,true
238737,18.680103,-33.820515,614400,831998,2,m,false
238737,18.680103,-33.820515,614400,831999,0,f,false
238741,18.676561,-33.822016,0,832005,51,m,false
238757,18.680166,-33.823352,614400,832051,26,f,true
238762,18.679172,-33.822522,614400,832060,45,m,true
238762,18.679172,-33.822522,614400,832061,54,f,false
238762,18.679172,-33.822522,614400,832062,70,f,false
238762,18.679172,-33.822522,614400,832063,74,m,false
238762,18.679172,-33.822522,614400,832064,21,f,true
238762,18.679172,-33.822522,614400,832065,17,f,true
238768,18.680739,-33.821679,2457600,832079,54,m,true
238768,18.680739,-33.821679,2457600,832080,51,f,true
238768,18.680739,-33.821679,2457600,832081,13,m,false
238768,18.680739,-33.821679,2457600,832082,32,m,true
238768,18.680739,-33.821679,2457600,832083,57,f,true
238770,18.676751,-33.820812,614400,832087,41,m,true
238770,18.676751,-33.820812,614400,832088,31,f,true
238771,18.677450,-33.822524,307200,832089,35,f,true
238772,18.677068,-33.822733,0,832090,69,m,false
238772,18.677068,-33.822733,0,832091,63,f,false
238799,18.680261,-33.822736,614400,832158,35,m,true
238799,18.680261,-33.822736,614400,832159,34,f,true
238799,18.680261,-33.822736,614400,832160,4,f,false
238802,18.681270,-33.822941,1228800,832164,31,m,true
238802,18.681270,-33.822941,1228800,832165,25,f,true
238814,18.680264,-33.822957,614400,832207,59,f,true
238837,18.677131,-33.820677,153600,832269,24,m,true
238837,18.677131,-33.820677,153600,832270,18,f,true
238837,18.677131,-33.820677,153600,832271,16,f,true
238837,18.677131,-33.820677,153600,832272,10,f,false
238837,18.677131,-33.820677,153600,832273,8,f,false
238837,18.677131,-33.820677,153600,832274,8,f,false
238837,18.677131,-33.820677,153600,832275,4,m,false
238837,18.677131,-33.820677,153600,832276,4,m,false
238837,18.677131,-33.820677,153600,832277,4,m,false
238837,18.677131,-33.820677,153600,832278,0,f,false
238842,18.679590,-33.822604,153600,832286,51,f,true
238842,18.679590,-33.822604,153600,832287,20,f,false
238842,18.679590,-33.822604,153600,832288,17,f,false
238845,18.678462,-33.822071,614400,832295,42,m,true
238856,18.678818,-33.822917,307200,832318,52,m,true
238856,18.678818,-33.822917,307200,832319,49,f,true
238856,18.678818,-33.822917,307200,832320,27,m,false
238856,18.678818,-33.822917,307200,832321,19,f,false
238857,18.676558,-33.822620,307200,832322,63,m,true
238857,18.676558,-33.822620,307200,832323,58,f,false
238857,18.676558,-33.822620,307200,832324,23,f,true
238857,18.676558,-33.822620,307200,832325,20,f,false
238861,18.679146,-33.822776,307200,832330,41,m,true
238861,18.679146,-33.822776,307200,832331,39,f,true
238861,18.679146,-33.822776,307200,832332,10,m,false
238861,18.679146,-33.822776,307200,832333,7,m,false
238863,18.676718,-33.821242,614400,832338,57,m,true
238863,18.676718,-33.821242,614400,832339,51,f,false
238866,18.677153,-33.822452,153600,832346,36,f,true
238868,18.678773,-33.822605,307200,832351,58,f,true
238873,18.679886,-33.822429,614400,832364,25,m,true
238893,18.678643,-33.820123,614400,832412,50,m,true
238893,18.678643,-33.820123,614400,832413,47,f,true
238893,18.678643,-33.820123,614400,832414,28,m,true
238893,18.678643,-33.820123,614400,832415,21,f,false
238893,18.678643,-33.820123,614400,832416,19,m,false
238893,18.678643,-33.820123,614400,832417,14,f,false
238903,18.679560,-33.820546,614400,832437,31,m,true
238903,18.679560,-33.820546,614400,832438,29,f,true
238903,18.679560,-33.820546,614400,832439,1,m,false
238908,18.679117,-33.821435,307200,832446,39,m,true
238908,18.679117,-33.821435,307200,832447,34,f,true
238908,18.679117,-33.821435,307200,832448,51,m,false
238912,18.676687,-33.820937,1228800,832458,31,m,true
238912,18.676687,-33.820937,1228800,832459,25,f,true
238912,18.676687,-33.820937,1228800,832460,23,m,false
238912,18.676687,-33.820937,1228800,832461,21,f,true
238919,18.678732,-33.820616,19200,832473,31,m,true
238927,18.677785,-33.822725,0,832491,32,f,true
238952,18.677154,-33.821549,153600,832564,34,f,true
238954,18.676778,-33.823130,614400,832567,71,m,false
238954,18.676778,-33.823130,614400,832568,69,f,false
238963,18.680940,-33.822174,1228800,832590,37,m,true
238963,18.680940,-33.822174,1228800,832591,43,f,true
238963,18.680940,-33.822174,1228800,832592,8,m,false
238969,18.681548,-33.822914,153600,832603,74,m,false
238969,18.681548,-33.822914,153600,832604,75,f,false
238978,18.678054,-33.823010,614400,832622,55,m,false
238978,18.678054,-33.823010,614400,832623,55,f,true
238978,18.678054,-33.823010,614400,832624,23,m,true
238978,18.678054,-33.823010,614400,832625,18,m,false
238979,18.681026,-33.820597,614400,832626,25,f,true
238979,18.681026,-33.820597,614400,832627,24,f,true
238984,18.678058,-33.820553,614400,832644,54,m,true
238984,18.678058,-33.820553,614400,832645,51,f,false
238984,18.678058,-33.820553,614400,832646,21,m,false
238984,18.678058,-33.820553,614400,832647,17,f,false
238984,18.678058,-33.820553,614400,832648,15,f,false
238993,18.677107,-33.821908,307200,832672,58,m,false
238993,18.677107,-33.821908,307200,832673,46,f,true
238993,18.677107,-33.821908,307200,832674,11,f,false
238997,18.678075,-33.821663,1228800,832683,36,f,true
238997,18.678075,-33.821663,1228800,832684,31,m,true
238997,18.678075,-33.821663,1228800,832685,11,f,false
238997,18.678075,-33.821663,1228800,832686,4,m,false
239002,18.680818,-33.820357,1228800,832700,30,m,true
239002,18.680818,-33.820357,1228800,832701,29,f,true
239012,18.680582,-33.821911,614400,832719,68,m,false
239012,18.680582,-33.821911,614400,832720,64,f,true
239016,18.680179,-33.819951,76800,832733,56,f,false
239016,18.680179,-33.819951,76800,832734,31,f,true
239016,18.680179,-33.819951,76800,832735,27,f,true
239024,18.677269,-33.823979,614400,832757,40,m,true
239024,18.677269,-33.823979,614400,832758,39,f,false
239024,18.677269,-33.823979,614400,832759,19,m,false
239024,18.677269,-33.823979,614400,832760,16,m,false
239031,18.676680,-33.822076,307200,832774,39,f,true
239031,18.676680,-33.822076,307200,832775,35,f,true
239041,18.680354,-33.820717,614400,832797,42,m,true
239041,18.680354,-33.820717,614400,832798,42,f,true
239041,18.680354,-33.820717,614400,832799,15,f,false
239041,18.680354,-33.820717,614400,832800,12,m,false
239041,18.680354,-33.820717,614400,832801,5,f,false
239055,18.676350,-33.822485,614400,832831,41,m,true
239055,18.676350,-33.822485,614400,832832,36,f,true
239055,18.676350,-33.822485,614400,832833,14,m,false
239056,18.681382,-33.822449,614400,832834,55,m,true
239069,18.680802,-33.820922,307200,832873,48,m,true
239069,18.680802,-33.820922,307200,832874,44,m,true
239072,18.680377,-33.819601,1228800,832882,62,m,true
239072,18.680377,-33.819601,1228800,832883,62,f,true
239072,18.680377,-33.819601,1228800,832884,31,m,true
239074,18.676108,-33.821791,614400,832887,55,m,true
239074,18.676108,-33.821791,614400,832888,56,f,true
239074,18.676108,-33.821791,614400,832889,19,f,true
239079,18.680961,-33.819563,614400,832901,56,m,false
239079,18.680961,-33.819563,614400,832902,45,f,true
239079,18.680961,-33.819563,614400,832903,12,f,false
239079,18.680961,-33.819563,614400,832904,11,f,false
239086,18.676991,-33.822315,153600,832926,52,f,true
239092,18.679315,-33.820687,614400,832944,39,f,true
239092,18.679315,-33.820687,614400,832945,17,f,false
239092,18.679315,-33.820687,614400,832946,14,f,false
239092,18.679315,-33.820687,614400,832947,25,m,true
239092,18.679315,-33.820687,614400,832948,37,f,true
239092,18.679315,-33.820687,614400,832949,13,m,false
239099,18.679086,-33.822101,614400,832963,42,m,true
239099,18.679086,-33.822101,614400,832964,40,f,true
239099,18.679086,-33.822101,614400,832965,10,f,false
239099,18.679086,-33.822101,614400,832966,7,m,false
239102,18.681317,-33.821952,9600,832971,38,m,false
239102,18.681317,-33.821952,9600,832972,7,f,false
239103,18.677137,-33.823746,307200,832973,74,m,false
239103,18.677137,-33.823746,307200,832974,74,f,false
239107,18.680469,-33.819920,614400,832980,44,m,true
239107,18.680469,-33.819920,614400,832981,50,f,true
239107,18.680469,-33.819920,614400,832982,26,m,true
239107,18.680469,-33.819920,614400,832983,25,f,false
239107,18.680469,-33.819920,614400,832984,2,f,false
239107,18.680469,-33.819920,614400,832985,0,m,false
239117,18.679219,-33.820447,4800,833007,36,f,false
239117,18.679219,-33.820447,4800,833008,59,f,false
239117,18.679219,-33.820447,4800,833009,4,f,false
239126,18.678127,-33.820944,307200,833036,34,f,false
239126,18.678127,-33.820944,307200,833037,16,m,true
239126,18.678127,-33.820944,307200,833038,32,m,false
239133,18.678126,-33.821556,307200,833055,43,m,false
239133,18.678126,-33.821556,307200,833056,36,f,true
239133,18.678126,-33.821556,307200,833057,11,m,false
239138,18.679448,-33.823202,76800,833065,47,m,true
239138,18.679448,-33.823202,76800,833066,51,f,true
239138,18.679448,-33.823202,76800,833067,22,m,true
239138,18.679448,-33.823202,76800,833068,17,m,true
239138,18.679448,-33.823202,76800,833069,55,m,false
239143,18.678565,-33.822307,2457600,833082,36,m,true
239143,18.678565,-33.822307,2457600,833083,33,f,true
239143,18.678565,-33.822307,2457600,833084,1,f,false
239152,18.677883,-33.821528,307200,833105,22,m,true
239154,18.680836,-33.820023,4915200,833110,49,m,true
239154,18.680836,-33.820023,4915200,833111,46,f,true
239179,18.679173,-33.822522,614400,833180,38,m,true
239179,18.679173,-33.822522,614400,833181,37,f,true
239179,18.679173,-33.822522,614400,833182,4,m,false
239179,18.679173,-33.822522,614400,833183,2,m,false
239182,18.677956,-33.822655,307200,833188,73,m,false
239182,18.677956,-33.822655,307200,833189,66,f,false
239183,18.679978,-33.822578,0,833190,61,f,true
239183,18.679978,-33.822578,0,833191,22,f,true
239183,18.679978,-33.822578,0,833192,19,m,false
239196,18.677089,-33.821256,614400,833227,39,m,true
239196,18.677089,-33.821256,614400,833228,37,f,false
239196,18.677089,-33.821256,614400,833229,11,m,false
239196,18.677089,-33.821256,614400,833230,8,m,false
239196,18.677089,-33.821256,614400,833231,5,f,false
239196,18.677089,-33.821256,614400,833232,2,m,false
239218,18.676968,-33.823527,76800,833289,71,f,false
239233,18.678012,-33.822754,153600,833319,48,m,true
239233,18.678012,-33.822754,153600,833320,45,f,true
239233,18.678012,-33.822754,153600,833321,19,f,false
239233,18.678012,-33.822754,153600,833322,15,m,false
239233,18.678012,-33.822754,153600,833323,14,m,false
239238,18.679775,-33.819832,153600,833334,29,m,true
239240,18.681397,-33.822851,307200,833338,53,m,true
239240,18.681397,-33.822851,307200,833339,49,f,false
239240,18.681397,-33.822851,307200,833340,24,m,false
239243,18.681360,-33.822549,614400,833347,30,m,true
239243,18.681360,-33.822549,614400,833348,34,f,false
239245,18.679190,-33.820602,2457600,833353,65,m,false
239245,18.679190,-33.820602,2457600,833354,64,f,true
239266,18.678700,-33.821538,76800,833412,84,f,false
239270,18.678072,-33.820503,153600,833422,35,f,true
239270,18.678072,-33.820503,153600,833423,1,m,false
239285,18.677196,-33.821642,307200,833463,58,f,true
239285,18.677196,-33.821642,307200,833464,22,m,false
239290,18.680400,-33.820916,307200,833476,50,f,true
239290,18.680400,-33.820916,307200,833477,19,f,false
239290,18.680400,-33.820916,307200,833478,30,m,false
239292,18.676837,-33.823290,307200,833481,40,f,true
239292,18.676837,-33.823290,307200,833482,36,m,true
239311,18.680520,-33.820397,614400,833529,40,m,true
239311,18.680520,-33.820397,614400,833530,37,f,true
239311,18.680520,-33.820397,614400,833531,16,m,false
239314,18.677515,-33.821863,307200,833537,57,f,false
239314,18.677515,-33.821863,307200,833538,63,m,true
239314,18.677515,-33.821863,307200,833539,18,m,false
239314,18.677515,-33.821863,307200,833540,76,f,false
239318,18.676768,-33.822541,614400,833548,37,f,false
239318,18.676768,-33.822541,614400,833549,33,m,true
